rank,name,season,POS,GP,MIN,PTS,FGM,FGA,FG%,3_PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
233,Shawn KempPOR,2001-2002,C,75,16.4,6.1,2.3,5.4,43,0,0.1,0,1.4,1.7,79.4,3.8,0.7,0.6,0.4,1.1,6,0,0
234,Patrick EwingORL,2001-2002,C,65,13.9,6,2.3,5.1,44.4,0,0,0,1.4,2.1,70.1,4,0.5,0.3,0.7,1,2,0,0
234,Zendon HamiltonDEN,2001-2002,C,54,15.7,6,1.9,4.5,42,0,0,0,2.2,3.4,65.2,4.7,0.3,0.4,0.3,1.1,5,0,0
236,Oscar TorresHOU,2001-2002,G,65,16.5,6,2.1,5.2,39.6,0.6,1.9,29.4,1.3,1.6,78.1,1.9,0.6,0.4,0.1,0.8,0,0,0
237,Troy MurphyGS,2001-2002,PF,82,17.7,5.9,2.2,5.2,42.1,0,0.1,33.3,1.5,1.9,77.6,3.9,0.9,0.4,0.3,1,3,0,0
238,Rusty LaRueUTAH,2001-2002,SG,33,16.4,5.8,2.2,5.6,39.5,0.5,1.5,34,0.9,1.1,85.7,1.5,2.2,0.5,0.2,1.3,1,0,0
239,Lindsey HunterLAL,2001-2002,SG,82,19.7,5.8,2.3,6,38.2,1,2.5,38,0.2,0.5,50,1.5,1.6,0.8,0.2,0.7,0,0,0
240,Greg BucknerDAL,2001-2002,SG,44,20.1,5.8,2.4,4.5,52.5,0.1,0.4,31.3,0.9,1.3,69,3.9,1.1,0.7,0.4,0.6,1,0,0
241,Donnell HarveyDAL/DEN,2001-2002,PF,47,17.9,5.7,2.3,4.6,49.8,0,0,0,1.1,1.9,60,4.8,0.8,0.4,0.5,0.7,1,0,0
242,Kendall GillMIA,2001-2002,SF,65,21.7,5.7,2.5,6.5,38.4,0.1,0.7,13.6,0.6,1,67.7,2.8,1.5,0.7,0.1,0.8,0,0,0
